en_text,th_text
Ok sounds good,โอเค ฟังดูเยี่ยม
ไม่ห้าโมงก็สองทุ่มเลยค่ะ,5 or 8.
"Hi, I'm looking to book a table for Korean fod.",สวัสดีค่ะ ช่วยจองร้านอาหารเกาหลีให้หน่อยได้มั้ยคะ?
"Hi, I'm looking to book a table for Korean fod.",สวัสดีค่ะ ช่วยจองร้านอาหารเกาหลีให้หน่อยได้มั้ยคะ?
Strengthening cooperation in the legal and judicial field,ส่งเสริมความร่วมมือด้านกฎหมายและด้านยุติธรรม
"ASEAN and Japan engage with each other through various mechanisms at many levels. This includes the ASEAN-Japan Summit, the ASEAN-Japan Ministerial Meeting and the ASEAN-Japan Forum for Senior Officials. In 2011, Japan became the first Dialogue Partner to establish a Permanent Mission to ASEAN in Jakarta.",อาเซียนและญี่ปุ่นมีกลไกความร่วมมือหลายระดับ
"ASEAN and Japan engage with each other through various mechanisms at many levels. This includes the ASEAN-Japan Summit, the ASEAN-Japan Ministerial Meeting and the ASEAN-Japan Forum for Senior Officials. In 2011, Japan became the first Dialogue Partner to establish a Permanent Mission to ASEAN in Jakarta.",อาเซียนและญี่ปุ่นมีกลไกความร่วมมือหลายระดับ อาทิ การประชุมสุดยอดอาเซียน-ญี่ปุ่น การประชุมรัฐมนตรีต่างประเทศอาเซียน-ญี่ปุ่น การประชุมอาเซียน-ญี่ปุ่นในระดับเจ้าหน้าที่อาวุโส ทั้งนี้ เมื่อปี 2554 ญี่ปุ่นเป็นประเทศคู่เจรจาของอาเซียนประเทศแรกที่จัดตั้งคณะผู้แทนถาวรประจำอาเซียน ณ กรุงจาการ์ตา
"Yes, I concur.",ใช่ ข้าเห็นด้วยกับท่าน
I was thinking about the “Melting Pot" since they have a special Anniversary dinner special.,กำลังคิดอยู่ว่าจะจองร้าน “เมล์ติ้ง พ็อท“ ค่ะ เพราะเขามีเมนูพิเศษสำหรับดินเนอร์วันครบรอบน่ะ
"alomond mile and whipped cream",นมอัลมอนเเละ       วิปครีม
"alomond mile &amp; whipped cream",นมอัลมอน &amp; วิปครีม
